V1	V2	V3	V4
boot1	0.0514327700220426	0.000109124301547168	0.000109772190313306	0.000106924182951664
boot2	0.0632597370379558	0.000110583610056995	0.00011157636479034	0.00011048220479842
boot3	0.0699162973904481	0.000109949146885335	0.000111152566048503	0.000110343850943836
boot4	0.0655364372469636	0.000111153302096888	0.000112240099821338	0.000113134653217314
boot5	0.05475	0.000112688109375	0.0001134375	0.000110950859375
boot6	0.0922176140522079	0.000107199325946562	0.000109273999852754	0.000108312979954408
boot7	0.0679802955665025	0.000110851842948364	0.000111990099250164	0.000108437740237289
boot8	0.07525	0.000108771859375	0.0001101875	0.000110576359375
boot9	0.0521396950319725	0.000110265372016742	0.000110933976984285	0.000109320482529415
boot10	0.0786405358471843	0.000106472712325203	0.000108006905795392	0.000109276731084688
boot11	0.0685373727340452	0.000110076679774658	0.000111243148972891	0.000110177438114875
boot12	0.0384992643452673	0.000110219263805149	0.000110582724657314	0.000107665527018072
boot13	0.0642717497556207	0.000107026210562146	0.00010803570660727	0.000107968556709142
boot14	0.0642178910544728	0.000111169802529957	0.000112200271678254	0.000108891534141526
boot15	0.0646368854504617	0.000109632142170738	0.000110674799261014	0.000111843605409066
boot16	0.0481897627965044	0.000113198039016789	0.000113777877528246	0.000110868878042932
boot17	0.0681091713793951	0.000107260054979506	0.000108400664575273	0.000107635347630977
boot18	0.057573511242896	0.000107678768287815	0.000108497821709321	0.000109431535669858
boot19	0.0647693817468106	0.000107194227442265	0.000108223440595323	0.000107970833269275
boot20	0.0729192858938899	0.000113226701452055	0.000114563694727206	0.000112812567387636
boot21	0.0809736711376056	0.000110903727313023	0.000112532325280609	0.000108955404591064
boot22	0.0691502313123935	0.000107328697677241	0.000108492991441682	0.000109391184838466
boot23	0.0620465349011759	0.00010970277115796	0.000110665936655394	0.000110065712162911
boot24	0.0503489531405783	0.000108711099469886	0.00010934295816439	0.000110031554685006
boot25	0.0687022900763359	0.0001085291256788	0.000109691402128377	0.000109846435033606
boot26	0.0736135289728923	0.000108001160744194	0.00010934882342707	0.00011093465275738
boot27	0.0615006150061501	0.000111873618656758	0.000112804080070321	0.000109467668752022
boot28	0.0901498403340703	0.000111018551670595	0.000113014865527696	0.000110242371254461
boot29	0.0591384144787153	0.000108660662946589	0.000109552162326415	0.000112115057411097
boot30	0.0776009791921665	0.000110527693465875	0.0001120018457233	0.000109644454911256
boot31	0.0822360248447205	0.000112821565573945	0.000114501755333513	0.000111287233234474
boot32	0.0810208126858275	0.00011041030835536	0.000112036763283079	0.000110356888705816
boot33	0.0633225726347157	0.000107225861884857	0.000108221577853339	0.000108956118403776
boot34	0.0745494939521106	0.000109775751224861	0.000111147666072681	0.000110049189540107
boot35	0.0634170604327282	0.000111008145410535	0.000112008325354312	0.00011056829695729
boot36	0.064208984375	0.000110871376818977	0.000111877918243408	0.000109289583633654
boot37	0.0670474298485225	0.000111113480032928	0.0001122297844405	0.000109379915945394
boot38	0.0579025844930417	0.000107920364110882	0.000108753542364106	0.000108517120418759
boot39	0.0678137651821862	0.000112164925905602	0.000113328566277107	0.000112953053126478
boot40	0.0733922434953363	0.000109839334558754	0.000111161480215426	0.000108771100142219
boot41	0.0613055348721767	0.000112848855778639	0.000113781684918863	0.000109947420619089
boot42	0.0518277416124186	0.000110723901167615	0.000111396438674035	0.000111404521868878
boot43	0.0670294335889191	0.000109069588462331	0.00011018087833798	0.000110485465066197
boot44	0.0593936381709742	0.000108123927933217	0.000109000569149714	0.000110867803737476
boot45	0.0771728271728272	0.000113470046212753	0.000114957470102325	0.000111588135093725
boot46	0.069007559131919	0.000108541386844269	0.000109702577582466	0.000107774228753401
boot47	0.0626865671641791	0.000114366165755466	0.000115343679611891	0.000111121332029489
boot48	0.0807174887892377	0.000110093467931515	0.000111716615165307	0.00011197996529949
boot49	0.0639462552873849	0.000109616532988035	0.000110633981001291	0.000109401795061574
boot50	0.0751730959446093	0.000109646226989811	0.000111043604426482	0.00011055454651647
boot51	0.0584868093578895	0.000109961593919999	0.000110812939581738	0.000110847209231462
boot52	0.0596421471172962	0.000108548873551179	0.000109432866024529	0.000111552483532851
boot53	0.06848287928018	0.000113520463365615	0.000114692646508455	0.000112126165600392
boot54	0.0845386533665835	0.000111338946679979	0.000113121187057294	0.000112161015735423
boot55	0.071039603960396	0.000114119426628723	0.000115368591314577	0.000111534927050444
boot56	0.0428396572827417	0.00010891583591493	0.00010936509815143	0.000107797998121581
boot57	0.0710382513661202	0.000114610413590184	0.000115863874384311	0.0001114402286383
boot58	0.0622529644268775	0.000110355102222223	0.000111312471683669	0.000109584792477923
boot59	0.0661874070401587	0.000107743572440421	0.000108829534971581	0.000111824009358412
boot60	0.060295221416062	0.000112447911843235	0.000113357472445089	0.000111568528464221
boot61	0.0766405484818805	0.00011169765892777	0.000113135899297898	0.000109627111899599
boot62	0.0635467980295567	0.000108326149998081	0.000109320779441384	0.000107969921917913
boot63	0.0669631826043983	0.000112518589640309	0.000113626587620173	0.000110827467384907
boot64	0.0477014335145823	0.000106034289758954	0.000106596678972831	0.000109803198848639
boot65	0.0675542406311637	0.000108046650277954	0.000109171792148579	0.000108688351016092
boot66	0.0546407185628743	0.000107758141565841	0.000108503053772694	0.000109481468411061
boot67	0.0856088560885609	0.000108943573334373	0.000110746494918824	0.00010879365739142
boot68	0.0765230312035661	0.000105814621384005	0.000107264788373748	0.000108447312139255
boot69	0.0751359367276322	0.000111493325718327	0.00011288863194372	0.000110084008453968
boot70	0.0793172690763052	0.00011195231118827	0.000113531434976855	0.000111308459582674
boot71	0.0641217564870259	0.000112830769883812	0.000113856618101123	0.000112200372338896
boot72	0.069060084766891	0.000110259635449011	0.000111448689377709	0.000110479906957078
boot73	0.0697156983930779	0.000106120127126878	0.000107321679315366	0.000108558919676849
boot74	0.0751674522451005	0.000110913200048282	0.000112314873547915	0.000111448440270375
boot75	0.0702489524279024	0.00010978502412583	0.000111001419323567	0.000109469936961036
boot76	0.0654437283093704	0.000108197995258346	0.000109259691236291	0.000109575415393185
boot77	0.072391412880679	0.000111353594313011	0.000112661761227355	0.000110852539941491
boot78	0.0808786819770344	0.000111776625316608	0.000113409516279749	0.000111530982368792
boot79	0.0579207920792079	0.000109452905024842	0.000110283305558279	0.000109322148333351
boot80	0.0713575335653903	0.000114519347212085	0.000115785358548866	0.000112561455430898
boot81	0.069060773480663	0.000111501776029098	0.000112699513455956	0.000109020935162414
boot82	0.0762478053674442	0.000116054419600616	0.000117512590612241	0.000112213214436594
boot83	0.0732310737258783	0.000109459507566466	0.000110786274058066	0.000108576793537883
boot84	0.0571072319201995	0.000112805420606232	0.000113618696401142	0.000111557304895732
boot85	0.0730143068574248	0.000108816361773325	0.000110131381261699	0.000109041104991674
boot86	0.0683417085427136	0.000110692347117269	0.000111865861973183	0.000109937835943689
boot87	0.0815822002472188	0.000111910223454518	0.000113555626519334	0.000109563567432456
boot88	0.0723488602576809	0.000111292356207706	0.000112589273348584	0.000110853804005067
boot89	0.0671698113207547	0.000110569402183607	0.000111704442071121	0.00011075297903141
boot90	0.0616404715127701	0.000110096374399458	0.000111029465688337	0.000108686629137625
boot91	0.0598847406664996	0.000110539841364487	0.000111438408682126	0.000112699605747251
boot92	0.0730378806635306	0.000109446257813029	0.000110767013448538	0.000110070446698719
boot93	0.0692726373082632	0.000108986986319161	0.000110174195195866	0.000110741148006375
boot94	0.0579601990049751	0.000112342223808312	0.000113177891636346	0.000109239313075473
boot95	0.0637767812655705	0.000108593089607153	0.000109606412434407	0.000110790127375252
boot96	0.0667162698412698	0.000109432902566466	0.000110536836262283	0.000111594422470255
boot97	0.0829040961491293	0.000108770673698678	0.000110456493948446	0.000109764511395379
boot98	0.0638138138138138	0.000110265888854162	0.000111284958632306	0.000112313024120602
boot99	0.0895671753815361	0.000110787052712189	0.000112794127744921	0.000110509052681127
boot100	0.0543478260869565	0.000111681284459319	0.000112410950022653	0.000109251890102519
boot101	0.0828373015873016	0.000115170669691442	0.000116872559208869	0.000111200133193319
boot102	0.0656553096244715	0.000114832778142255	0.000115904804922132	0.000108672654102526
boot103	0.0959040959040959	0.000111475239743575	0.000113772341544569	0.000111123919757843
boot104	0.0715850986121256	0.000108549548957168	0.000109797278770489	0.000108409728616432
boot105	0.0830397584297937	0.00011186178198794	0.000113596961021679	0.000110942312370668
boot106	0.0687671917979495	0.000110185649829284	0.000111368177128053	0.000110693155363285
boot107	0.0584592519197424	0.000108373542781472	0.000109220083315288	0.000109477924338264
boot108	0.0647233201581028	0.000106860124779729	0.000107894983517943	0.000109465362506999
boot109	0.0579745596868885	0.0001062282924723	0.000107050467024866	0.000108381236656629
boot110	0.0799507995079951	0.000107903153712801	0.000109475633501722	0.000109827943411354
boot111	0.0493551587301587	0.000111408971495195	0.000112013121220711	0.000109906690447469
boot112	0.0744865132392972	0.000110141744931513	0.000111514731977924	0.00011090100141874
boot113	0.0565013570194917	0.000108971936621564	0.000109759600906055	0.000108752314052051
boot114	0.0799899699097292	0.000112516788052145	0.000114121200109858	0.000110733915286683
boot115	0.0750736015701668	0.000105636880978745	0.000107019620343984	0.000109151705327893
boot116	0.0646887159533074	0.00010839447805538	0.000109412140986237	0.000107628426229056
boot117	0.0514429109159348	0.000113503064551178	0.000114167148135496	0.000110908958914802
