LEU3N_v1	&	17.15	&	23.97	&	-1.134	&	17.32	&	 0.00858	&	-0.1308	\\
LEU3N_v2	&	17.01	&	23.65	&	-0.994	&	15.09	&	-0.00723	&	 0.1095	\\
LEU2N_v1	&	30.46	&	31.16	&	-0.094	&	 1.43	&	-0.01521	&	 0.2312	\\
LEU2N_v2	&	29.53	&	30.34	&	-0.106	&	 1.61	&	-0.01180	&	 0.1787	\\
WBC_v1	&	67.03	&	74.33	&	-0.683	&	10.38	&	 0.00013	&	-0.0020	\\
WBC_v2	&	65.61	&	72.18	&	-0.590	&	 8.94	&	-0.03040	&	 0.4603	\\
RBC_v1	&	 1.99	&	 2.18	&	-1.299	&	19.45	&	 0.01211	&	-0.1807	\\
RBC_v2	&	 1.93	&	 2.18	&	-1.962	&	29.65	&	-0.01838	&	 0.2804	\\
PLATE_v1	&	14.76	&	15.03	&	-0.115	&	 1.75	&	-0.00444	&	 0.0673	\\
PLATE_v2	&	14.57	&	14.69	&	-0.054	&	 0.82	&	-0.01866	&	 0.2839	\\
age	&	39.78	&	38.11	&	 0.240	&	-3.65	&	 0.00062	&	-0.0095	\\
white	&	 0.94	&	 0.85	&	 0.281	&	-4.33	&	 0.01106	&	-0.1708	\\
